text,true label,predicted label
"""His present """" chambers """" may be quite humble , but Shiyani has the tiny space very neatly organized and clean . Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . """" There are many homeless sleeping around the station , """" Captain Xoli Mbele , from the nearby Johannesburg Central Police station said .""",1,0
"Krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . She hopes the book , which contains some of her own work as well , will show how talented disabled people can be .",1,0
"10:41am - Parents of children who died must get compensation , free medicine must be provided to poor families across UP : Ram Gopal Yadav",1,0
"When some people feel causing problem for some others by breaking into their homes to steal is n't too good , they just result to begging . You now see people without deformities begging , when some people who are disabled work to feed their mouth . You then ask , what type of country is Nigeria ? Even a man who is not lettered would chorus the maxim that two wrongs do n't make a right . The country is n't working out ; and people want to survive anyhow too . They have to eat they will say .",1,0
"We are alarmed to learn of your recently circulated proposals that would eviscerate the Lifeline program and leave many of the most vulnerable people in the country without access to affordable communications . As you are well aware , the Lifeline program provides a modest monthly subsidy of $9.25 to connect low-income Americans to phone and internet services . As broadband prices continue to soar , and affordability continues to suffer , adoption gaps remain . The Lifeline program has proven critical for poor families and people of color who are caught on the wrong side of the digital divide .",1,0
"The former Chelsea star through his foundation gave out toys , bags and clothes to kids in need of a brighter holiday",1,0
"He depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into Macedonia on 14 March 2016 .",1,0
"Almost apocalyptic in its devastation , the wrath of one of the most powerful storms ever to hit the Atlantic is evidenced in the smashed ruins of Barbuda 's candy-coloured homes , the hopeless faces of residents who have lost everything they own , and the haunted eyes of their children .",1,0
""""""" I and my daughter Monica are excited about providing a space for disabled people to be able to get together and earn fair prices for their work , """" Mr. Rogers said .""",1,0
"Her house now holds the memories and keepsakes of a migrant 's life well lived , selflessly offering her home and love to more than 100 British foster children and making history in the process -- along with her late husband -- - by being the first black couple in the Lambeth Council in South London to be allowed to foster white children .",1,0
"Sheepherding in America has always been an immigrant 's job , too dirty , too cold and too lonely for anyone with options .",1,0
"""He said : """" We need improved security for civilians and aid workers and access to all those in need , but we must also build a bigger humanitarian muscle to provide for the suffering millions .""",1,0
"""She continued , """" I stepped away from hiding behind a fabricated version of myself . I no longer put actions behind my fears and insecurities . I made a choice to redirect my energy to be a catalyst for change . To create a channel for women to become the truest versions of themselves , along with me. """"""",1,0
Valerie Siddiq : My heart goes out to all the deceased and the poor families . May God grant us tolerance for all race and religions .,1,0
""""""" So many of us see the state of our home as some kind of reflection of our self-worth ( even though it 's not ! ) , and a mess can so easily make you feel like a failure . And for those who have mental illnesses , chronic illness , chronic pain , or disabilities , this can be even worse , because when you 're not physically able to do a whole-house clean , it can all seem a little hopeless . """"""",1,0
BUSINESSMAN Norberto Quisumbing Jr . of the Norkis Group of Companies has a challenge for families who can spare some of what they have : why not adopt poor families and help them break the cycle of poverty ?,1,0
"The retailer footwear company on a mission to democratise fashion , design and the latest ideas in footwear and accessories globally , has shown its commitment to Jamaica by again providing shoes for children in need during the Christmas season .",1,0
"On the eve of the World Refugee Day , UNHCR received information about three new shipwrecks in the Mediterranean . It is feared that at least 130 people were dead or missing . Whatever the unpredictable Donald Trump may be doing or undoing , all our religions tell us that it is our sacred duty to give shelter to the homeless and that is what we need to do , discarding the trump cards from hell .",1,0
"It is written in Ecclessiastes in the Bible that ' WOE TO ANY NATION WHERE A SLAVE BECOMES KING ' This typifies the situation in Nigeria since the inception of that country . I weep for my country when I visited home in 2009 and toured my alma mater- ABSU ... the infrastructural decay reduced me to tears . No matter how much OIL is sold in the world market the money will not change the corrupt/ sorry situation in Nigeria . The only thing that will change it is REVOLUTION . I weep for the children , pregnant women , the sick , infirms and the vulnerables who are trapped in this diabolical hole called Nigeria . My advice to Nigerians ... ' GOD WILL NOT DO FOR MAN WHAT MAN CAN DO FOR HIMSELF ' Wake and take your destinies in your hands stop calling on God for simple things you can do , learn from Egypt , Tunisia and Libya experience .",1,0
"Government support to bring the Housing First programme to Wellington will make a real difference for the homeless , says National 's Wellington Central candidate Nicola Willis .",1,0
"Departing from his prepared remarks , Francis shared his experiences of the day earlier with thousands of people gathered for his blessing . He says among the 300 refugees he greeted Saturday on Lesbos was a Syrian widower with two children .",1,0
"This is a new education programme introduced in this district to ensure that each vulnerable girl and boy in this district is educated , protected , respected and valued and grows up to turn the tide of poverty .",1,0
"Haiti has legal protections for the disabled on paper , but the laws are poorly implemented . Disabled Haitians have few opportunities to work and too many youngsters with disabilities languish out of sight at home instead of going to school . Some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants .",1,0
If only we had more stories that championed the brilliance of migrant workers perhaps we 'd be able to challenge the silence that permits them to be treated in such a disdainful way .,1,0
"""Mari ? tte Coetzee from Stofberg Family Vineyards ( whose Mia Chenin Blanc 2016 was the garagiste trophy winner at last year 's Michelangelo Awards and the recipient of four Platter 's stars for the Mari ? tte Chenin Blanc 2016 ) , says : """" We can be extremely proud of the current women winemakers in our industry , especially considering most of them are juggling a family along with the long working hours .""",1,0
"Kyle really your a pig , lol youre also very ignorant do nt like over weight women , well have u looked in the mirror recently your FAT , YOU AND YOUR BOSS SHOULD BE SACKED never to return to radio , , how dare you say go for the disabled , your more disabled than the disabled olympians , they have a genuine heart , you do nt have one ,",1,0
""""""" They have made them to become hopeless and now , in """" going to God """" , they have ended up being deceived further and their situation is exploited and the society becomes even worse .""",1,0
"A few of Hong Kong 's mega rich , have also made a more concerted effort to improve the quality of life of those most in need , however the philanthropic approach adopted by the vast majority of them has its limitations . Philanthropy has often created a culture of dependency and has failed to tackle the root causes of social problems . For many organizations , philanthropic investment is viewed as a cost rather than an opportunity .",1,0
"Behind the initiative are Danish national Lars Jorgensen and his American wife Monica , who came to the Philippines as backpacking tourists 27 years ago and were moved by the sight of Manila 's young and homeless .",1,0
"TREVOR HAGAN/WINNIPEG FREE PRESS John Donovan , northern region director of the Addictions Foundation of Manitoba : ? Many of them are feeling pretty hopeless. ?",1,0
"""He said : """" I think we can consider introducing a negligible telecom surcharge to be entirely borne by the initiator of a call . In order to protect the poor and vulnerable amongst us , we could structure it to only take effect after the third minute of talk .""",1,0
"The Global Gender Gap Report 2016 has ranked Pakistan 143 out of 144 countries . This really demonstrates the failure of feminists who are hopeless to break the historical shackles of bondage on women and establish favorable political , educational , economic , and health conditions .",1,0
"American hegemony in industry is history , they simply allowed and even encouraged their prosperity to be exported to low -wage economies , resulting in local unemployed folk living in poverty , unable to pay the electricity bill and keeping themselves from depression and hopelessness by sniffing , snorting , smoking or injecting themselves with opiates .",1,0
t is remiss not to mention here that not all scavenging children come from poor families . Children hailing from affluent families use dumpsites as playgrounds .,1,0
"The drama 's compelling nature derived from a thorough knowledge of its cast , more numerous and improbable than any soap opera 's . The bite came from underlying tragedy : lost wives , lost jobs , pennilessness , homelessness and death . I have never laughed so much as in Soho in the Eighties .",1,0
""""""" It 's the largest humanitarian tragedy of our time , """" Ninette Kelley , the UN high commissioner for refugees ' representative to Lebanon , told the Guardian earlier this month in an interview . """" We do not want the world to forget that people are suffering here . """"""",1,0
"She added that her office has worked relentlessly with the present administration to translate policies into concrete actions for the women , children , the aged , orphans , the disabled , and other vulnerable members of the society . Hajiya Yuguda challenged Nigerians to believe in the immense capacity and capability of the women folk in nation building in order to bring about the much needed positive change the country is yearning for .",1,0
"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence , often at the whims of the government .",1,0
""""""" My daughter , who was a physiotherapist , who is now on the other side , realizes how difficult it is being a disabled person . She wishes to change the idea in people 's minds when they look at a disabled person -- their mind is fine , they may be disabled , but they 're normal people and they want to be treated that way . """"""",1,0
"One petition signer , the Reverend Everett Shattuck , 59 , a Church of the Brethren minister from Mill Creek , Indiana , said opening his home to refugees was part of the U.S. tradition of welcoming immigrants .",1,0
"""Nearly 15,000 West African teenagers leave their homes every year to play football in Europe . Few make good on their dreams . Some are lured by corrupt """" agents """" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants . Others are nabbed by academies and feeder teams affiliated with European clubs and often dumped like bad stocks .""",1,0
